0,1,2
Q1,您的性别？,单选题
,本题选项:,
,1,A.男
,2,B.女
,3,C.其他
Q2,您的年龄？,单选题
,本题选项:,
,1,A.18岁以下
,2,B.18-25岁
,3,C.26-35岁
,4,D.36-45岁
,5,E.46-55岁
,6,F.55岁以上
Q3,您的常驻城市,城市题
,本题类别:,
,5,省份
,6,城市
,7,区/县
Q4,您的学历？,单选题
,本题选项:,
,1,A.小学
,2,B.初中
,3,C.中专
,4,D.高中
,5,E.高职高专
,6,F.大学本科
,7,G.硕士
,8,H.博士
,9,I.其他
Q5,您的职业是？,单选题
,本题选项:,
,1,A.各级政府部门、企事业单位、党政机关和公众团体的管理者&nbsp;
,2,B.生物类专业技术人员（含生物学、生态学、资源与环境类相关专业的硕士及以上学历人员）
,3,C.非生物专业技术人员（教师、医生、工程技术人员、作家等专业人员）
,4,"D.职员（从事一般性事务工作的人员，如公务员,公司职员等）"
,5,E.服务业工作者 （服务员、售票员、物业、快递员、业务员等）
,6,F.产业工人&nbsp;
,7,G.从事农林牧渔业的劳动者
,9,H.学生（不包含生物学、生态学、资源与环境类相关专业的硕士及以上学历人员）
,10,I.私营企业主
,11,J.离退休人员
,12,K.商务人员
,13,L.其他
Q6,您对治理污水相关政策和制度了解程度？,量表题
Q7,您觉得传统的生活污水当中哪些物质是当前方法难以解决的？,多选题
,本题选项:,
,1,A.有机物（蛋白质、碳水化合物、脂肪、尿素、氨氮等）
,2,B.病原微生物（细菌、病虫卵、病毒等）
,3,C.油类污染物（石油、动植物油等）
,4,D.感官污染物（印染废水等）
,6,E.其他
Q8,您看好菌藻共生技术治理污水的哪些特性？,多选题
,本题选项:,
,1,A.运行成本低、能耗小、效率高
,2,B.系统抗冲击负荷能力强
,3,C.污染物去除效果好
,5,D.其他
Q9,您认为目前的微藻治理污水领域还存在哪些缺陷？,多选题
,本题选项:,
,1,A.微藻对污水中COD（化学需氧量）的去除效果较差
,2,B.经污水培养后的微藻回收成本较高，极大限制了该技术的应用
,3,C.目前微藻治理污水缺少相关专业人才
,5,D.其他
Q10,您所研究的领域是否涉及到微藻？,单选题
,本题选项:,
,1,A.是
,2,B.否
Q11,您是否对将来微藻被大规模开发应用于治理水体污染有较高期望？,量表题
Q12,您对于合成生物学的了解程度？,量表题
Q13,您看好利用合成生物学改造微藻的前景吗？,量表题
Q14,建立绿色低碳循环发展的经济体系是建设现代化经济体系的重要组成部分，您对以下哪些微藻领域前沿技术与发展有所了解？,多选题
,本题选项:,
,1,A.水体修复技术
,2,B.生物膜修复技术
,3,C.固定化微藻技术
,4,D.复合微藻技术
,5,E.以上均不曾了解
,6,F.其他
Q15,您认为以下哪些步骤将是微藻处理生活污水的关键步骤？,多选题
,本题选项:,
,1,A.污水中碳源和氮源的转化
,2,B.藻种的筛选
,3,C.针对不同污水的组成和性质对水中营养物质进行适当的调整
,4,D.光照、pH值、温度、二氧化碳、盐度、水力停留时间对微藻生长的影响
,5,E.在实际培养过程中对污水的搅拌程度、外加二氧化碳的供给量以及微藻收获的频率
,6,F.反应器的选择
,9,G.其他
Q16,您认为以微藻或菌藻共生系统处理污水的优势是？,多选题
,本题选项:,
,1,A.处理过程消耗的能量少，有机物的去除率高
,2,B.可杀死病原菌，不需投加氮、磷等营养物质
,3,C.反应速度较快，可以快速处理污水
,4,D.处理过程中散发的臭气较少
,5,E.对能降解的有机物分解完全
,6,F.可行性强和经济效益高
,8,G.其他
Q17,您是否对微藻包埋设备应用于微藻的培养中有较高的期望？,量表题
Q18,您希望菌藻互作培养技术能改变以下传统的微藻培养的哪些弊端呢？,多选题
,本题选项:,
,1,A.建设费用高，占地面积大，生产效率低
,2,B.表面容易生成生物膜，降低透气性
,3,C.维持费用高
,4,D.细菌浓度低，后面处理工作量大
,5,E.不易采收
,6,F.浪费水资源
,8,G.其他
Q19,您对菌藻共生系统的了解程度？,量表题
Q20,您是否了解菌藻共生系统中细菌和微藻承担的作用以及两者之间的关系？,量表题
Q21,您最看好菌藻互作处理生活污水的哪个优势？,单选题
,本题选项:,
,1,A.节约能源
,2,B.减少污染
,3,C.对外界环境的耐受性强
,4,D.处理成本低
,6,E.其他
Q22,您认为菌藻共生大规模应用在实际生产阶段需要注意哪些方面？,多选题
,本题选项:,
,1,A.污水管道投资费用大
,2,B.经常呈现跑、冒、漏、渗现象，形成二次污染
,3,C.微生物菌种少，见效达标速度
,4,D.若当地拉不到活性污泥作为生化处理的基地便无法培养细菌
,5,E.消耗大量的化学试剂
,6,F.污泥培养的细菌不稳定，容易导致菌落死亡
,8,G.其他
Q23,您认为菌藻共生系统可以与哪些领域融会贯通？,多选题
,本题选项:,
,1,A.海洋油气
,2,B.矿产资源开发
,3,C.可再生能源技术
,4,D.航空航天技术
,6,E.其他
Q24,您认为什么方法可以更好的平衡菌藻共生的利与弊？,多选题
,本题选项:,
,1,A.调节培养基成分、温度、光照等因素，例如可以通过调节氮源和磷源的比例，控制微生物的生长速度和代谢产物的积累量
,2,B. 利用物理隔离法将微生物隔离在不同的环境中，例如使用包埋法将菌藻分离在不同的微球中
,3,C. 利用现代生物技术手段，对微生物基因进行改造，例如，可以通过基因敲除或基因增强等技术手段，调节微生物在共生关系中的作用和功能
,4,D. 综合运用多种手段和方法，如物理隔离、调节培养环境、基因工程技术等，以实现菌藻共生的平衡发展。例如，可以通过适当的培养条件、微生物的筛选和筛选等手段，建立稳定、平衡的菌藻共生模型
,6,E.其他
Q25,您认为生物处理法处理生活污水的安全性如何？,量表题
Q26,在进行污水处理时，您是否考虑为了处理污水中的物质，提供最适合的条件来建立菌藻共生系统？,量表题
Q27,您是否有兴趣了解菌藻共生的相关知识，并考虑加入相关部门，以推动创新发展？,单选题
,本题选项:,
,1,A.有想过
