答题序号,来源,Q1,Q2,Q3|5|open,Q3|6|open,Q3|7|open,Q4,Q5,Q6|1,Q7|1,Q7|2,Q7|3,Q7|4,Q7|6,Q7|6|open,Q8|1,Q8|2,Q8|3,Q8|5,Q8|5|open,Q9|1,Q9|2,Q9|3,Q9|5,Q9|5|open,Q10,Q11|1,Q12|1,Q13|1,Q14|1,Q14|2,Q14|3,Q14|4,Q14|5,Q14|6,Q14|6|open,Q15|1,Q15|2,Q15|3,Q15|4,Q15|5,Q15|6,Q15|9,Q15|9|open,Q16|1,Q16|2,Q16|3,Q16|4,Q16|5,Q16|6,Q16|8,Q16|8|open,Q17|1,Q18|1,Q18|2,Q18|3,Q18|4,Q18|5,Q18|6,Q18|8,Q18|8|open,Q19|1,Q20|1,Q21,Q21|open,Q22|1,Q22|2,Q22|3,Q22|4,Q22|5,Q22|6,Q22|8,Q22|8|open,Q23|1,Q23|2,Q23|3,Q23|4,Q23|6,Q23|6|open,Q24|1,Q24|2,Q24|3,Q24|4,Q24|6,Q24|6|open,Q25|1,Q26|1,Q27,Q28,Q28|open,Q29|1,Q30|1,Q31|1,Q31|2,Q31|3,Q31|4,Q31|6,Q31|6|open,Q32|1,Q32|2,Q32|3,Q32|4,Q32|5,Q32|7,Q32|7|open,Q33|1,Q33|2,Q33|3,Q33|4,Q33|5,Q33|5|open,Q34|1,Q34|2,Q34|3,Q34|4,Q34|5,Q34|6,Q34|8,Q34|8|open,Q35|1,Q35|2,Q35|3,Q35|4,Q35|5,Q35|5|open,Q36|1,Q37|1,Q37|2,Q37|3,Q37|4,Q37|5,Q37|6,Q37|8,Q37|8|open,Q38|1,Q38|2,Q38|3,Q38|4,Q38|5,Q39,Q39|open,Q40|1,Q41|1,Q42,Q43|1,Q43|2,Q43|3,Q44|1,Q44|2,Q44|3,Q44|4,Q44|6,Q44|6|open,Q45,Q46|1,Q47|1,Q47|2,Q47|3,Q47|4,Q47|5,Q47|5|open,Q48|1,Q48|2,Q48|3,Q48|4,Q48|5,Q48|7,Q48|7|open,Q49,Q50|1,Q50|2,Q50|3,Q50|4,Q50|5,Q50|5|open,Q51|1,Q52|1,Q52|2,Q52|3,Q52|4,Q52|5,Q52|6,Q52|8,Q52|8|open,Q53|1,Q53|2,Q53|3,Q53|4,Q53|5,Q54|1,Q54|2,Q54|3,Q54|4,Q54|5,Q55|1,Q56|1,Q57|1,Q57|2,Q57|3,Q57|4,Q57|6,Q57|6|open,Q58|1,Q59|1,Q60,Q60|open,Q61|1,Q62|1,Q63|1,Q64,Q65|1,Q65|2,Q65|3,Q66|1,Q66|2,Q66|3,Q66|4,Q66|6,Q66|6|open,Q67,Q68|1,Q69|1,Q69|2,Q69|3,Q69|4,Q69|5,Q69|5|open,Q70|1,Q71|1,Q72,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
2,,2,2,福建省,福州市,仓山区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,同学老师,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,,3.0,4.0,1.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,2023-04-06 10:38:36,2023-04-06 10:41:17,2分41秒,福建省,福州市,183.250.25.244,Unknown Browser,iPhone iOS 14.8.1
4,,2,2,福建省,福州市,台江区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-06 10:47:10,2023-04-06 10:48:45,1分35秒,福建省,福州市,27.149.60.162,Unknown Browser,iPhone iOS 15.7
5,,2,2,福建省,福州市,闽侯县,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-06 11:22:57,2023-04-06 11:23:57,1分0秒,福建省,福州市,27.149.62.188,Chrome 98.0.4758.102,Android Linux 12
10,,2,2,云南省,昆明市,盘龙区,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,3.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,5.0,5.0,3.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,,4.0,4.0,1.0,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,2023-04-11 14:04:37,2023-04-11 14:08:12,3分35秒,福建省,福州市,27.148.49.101,Unknown Browser,iPhone iOS 16.3.1
12,,1,2,江苏省,南京市,玄武区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11 14:22:16,2023-04-11 14:23:31,1分15秒,江苏省,南京市,49.94.42.133,Chrome 107.0.5304.141,Android Linux Tablet NetType/WIFI Language/zh_CN ABI/arm64
13,,2,2,河北省,保定市,莲池区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,,3.0,4.0,2.0,,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,2023-04-11 14:27:09,2023-04-11 14:30:58,3分49秒,福建省,福州市,112.49.87.98,Chrome 107.0.5304.141,Android Linux 12
14,,2,2,福建省,宁德市,福安市,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11 14:32:24,2023-04-11 14:34:29,2分5秒,福建省,福州市,183.250.25.244,Chrome 107.0.5304.141,Android Linux 11
15,,2,2,福建省,福州市,晋安区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,3.0,1.0,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11 15:08:18,2023-04-11 15:10:28,2分10秒,福建省,福州市,112.49.199.243,Chrome 98.0.4758.102,Windows Wechat(0x63090217
16,,1,2,江西省,南昌市,青山湖区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,3.0,1.0,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,,3.0,5.0,3.0,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,2023-04-11 15:30:12,2023-04-11 15:35:19,5分7秒,江西省,南昌市,59.52.221.70,Chrome 107.0.5304.141,Android Linux 12
17,,1,2,福建省,漳州市,龙海区,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,5.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,,5.0,5.0,4.0,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,2023-04-11 18:04:09,2023-04-11 18:05:22,1分13秒,福建省,,223.104.47.185,Chrome 107.0.5304.141,Android Linux 10
18,,2,2,江西省,赣州市,安远县,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,4.0,4.0,2.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,2023-04-11 19:12:51,2023-04-11 19:15:16,2分25秒,福建省,福州市,27.149.99.111,Unknown Browser,iPhone iOS 16.3.1
19,,2,2,江西省,赣州市,安远县,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,试卷,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,,3.0,5.0,3.0,,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,2023-04-11 21:16:04,2023-04-11 21:19:37,3分33秒,湖南省,长沙市,116.162.0.68,Chrome 107.0.5304.141,Android Linux 13
20,,2,2,福建省,福州市,台江区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12 09:32:29,2023-04-12 09:33:54,1分25秒,福建省,福州市,140.243.203.17,Unknown Browser,iPhone iOS 15.4.1
21,,2,2,福建省,福州市,仓山区,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:03:13,2023-04-13 16:04:44,1分31秒,福建省,厦门市,110.86.205.61,Unknown Browser,iPhone iOS 16.1.2
22,,2,2,福建省,福州市,闽侯县,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:12:24,2023-04-13 16:13:30,1分6秒,福建省,,223.104.51.4,Chrome 107.0.5304.141,Android Linux 12
23,,2,2,湖南省,长沙市,望城区,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,3.0,2.0,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:15:23,2023-04-13 16:17:08,1分45秒,湖南省,长沙市,110.53.242.64,Unknown Browser,iPhone iOS 16.0.1
24,,2,2,四川省,绵阳市,三台县,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:16:52,2023-04-13 16:18:05,1分13秒,福建省,福州市,218.104.226.59,Chrome 86.0.4240.99,Android Linux 13
25,,2,2,福建省,泉州市,惠安县,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-13 16:16:18,2023-04-13 16:18:07,1分49秒,福建省,,223.104.51.51,Unknown Browser,iPhone iOS 16.2
